symbol,industry,period,year,quarter,net_revenue,gross_profit,operating_profit,ebit,net_profit,gross_profit_margin,operating_profit_margin,pretax_profit_margin,net_profit_margin
CTF,,Q1 2019,2019,1,1443130787624.0,100908265352.0,22065651184.0,33922949641.0,25087987249.0,6.992316026888832,1.5290125727502035,2.35064970769915,1.7384416897033548
CTF,,Q2 2019,2019,2,1491782772581.0,89403833894.0,7366171283.0,23730054699.0,17029575943.0,5.993086630120981,0.493783104242145,1.5907178401010473,1.1415586944697296
CTF,,Q3 2019,2019,3,1595322062368.0,78581161742.0,-19837966781.0,-7813785219.0,-8266998463.0,4.925724002422361,-1.2435085835617241,-0.4897935911073459,-0.5182024782337032
CTF,,Q4 2019,2019,4,1795422496296.0,84068424379.0,-13220100098.0,3637487782.0,2991075768.0,4.682375571902168,-0.7363225160246898,0.2025978726179618,0.16659453550184772
CTF,,Q1 2020,2020,1,1100246569764.0,71254280500.0,1492451573.0,1589847350.0,499662961.0,6.476210193073709,0.13564700986253717,0.14449918715411383,0.04541372586211983
CTF,,Q2 2020,2020,2,1010519109161.0,45767990370.0,5906535949.0,6450113807.0,807125631.0,4.529156346978893,0.5845051217194693,0.6382970642044872,0.07987237684897708
CTF,,Q3 2020,2020,3,1545613053837.0,86073700779.0,381185650.0,2002669635.0,1356370460.0,5.568903585882714,0.024662424340536122,0.1295712164198117,0.08775614676861047
CTF,,Q4 2020,2020,4,2019600118065.0,115584243610.0,-12019107944.0,197031971.0,-1158031311.0,5.723125215537345,-0.5951231551479425,0.009755989279143952,-0.05733963375430587
CTF,,Q1 2021,2021,1,1141080861962.0,84770293251.0,10543730532.0,16658015213.0,15556599637.0,7.4289470691186645,0.9240125641815491,1.4598452895229383,1.363321404782097
CTF,,Q2 2021,2021,2,1356309253043.0,83620995667.0,3375924701.0,2978757669.0,108011352.0,6.165334010616597,0.24890523259542863,0.2196223068092246,0.007963622732622886
CTF,,Q3 2021,2021,3,341507212095.0,19124582490.0,-9132212730.0,-7175991047.0,-7412636993.0,5.600052301290771,-2.674090738516999,-2.1012707178212664,-2.1705652854376507
CTF,,Q4 2021,2021,4,1672827718747.0,104234653432.0,42492593411.0,51223594185.0,39321115964.0,6.231045329047691,2.5401655493148017,3.0620962105630376,2.3505777387197253
CTF,,Q1 2022,2022,1,972605098997.0,82112877907.0,13029179032.0,16527562568.0,13599272789.0,8.442571192735777,1.339616566419028,1.6993086490132598,1.398231697841628
CTF,,Q2 2022,2022,2,1591379523240.0,119610602758.0,19533869887.0,28811241756.0,22249985117.0,7.516158214382227,1.2274802837245034,1.8104569862342577,1.3981570575760403
CTF,,Q3 2022,2022,3,1486023708171.0,136506821337.0,33753085517.0,47167576362.0,38099626159.0,9.186045995525387,2.2713692474357186,3.1740796666059867,2.5638639511272046
CTF,,Q4 2022,2022,4,2246749388881.0,202983606709.0,52646624030.0,52457692080.0,34915935403.0,9.034545985126385,2.3432352664940885,2.33482614214159,1.5540645332228167
CTF,,Q1 2023,2023,1,1626859099034.0,99258995266.0,6674231246.0,13653758473.0,10697977019.0,6.101265642792189,0.4102525688895271,0.8392711133439497,0.6575847303157519
SVC,,Q1 2007,2007,1,348384827089.0,21206702139.0,9414716906.0,10447122536.0,8872219360.0,6.087148604087296,2.7023900508717826,2.9987306345379756,2.546672148191305
SVC,,Q2 2007,2007,2,327579422860.0,22537749050.0,27666985388.0,28791197475.0,24734153946.0,6.880086927692074,8.44588623621339,8.789073875163613,7.55058230765942
SVC,,Q3 2007,2007,3,408368919189.0,26827814305.0,23224827847.0,24528923469.0,19451921649.0,6.569504446684797,5.687217306626404,6.006559832641818,4.763320795233518
SVC,,Q4 2007,2007,4,750743637137.0,40623494319.0,17791931468.0,20398630442.0,13466539803.0,5.411100715274766,2.3699077272037172,2.717123320524066,1.7937600982347783
SVC,,Q1 2008,2008,1,526948572643.0,35646122740.0,8645874235.0,9508940871.0,3553171929.0,6.76463028663515,1.640743458443231,1.8045292016460532,0.674291973347316
